Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.7647683,0.667912,0.1867995,0.747198,0.8065587,0.7581269,0.79081696,0.7183718,0.78512985,0.80253994,0.7965871,0.012792686,209,185
2,0.71145666,0.56048477,0.21907158,0.72341645,0.73622227,0.72966415,0.73291606,0.71947324,0.76665,0.74014777,0.7020257,0.008736576,654,551
3,0.5221813,0.37300178,0.49925992,0.5391255,0.5371522,0.65164244,0.581959,0.70384306,0.7199445,0.6066501,0.48835942,0.014069254,235,203
4,0.41841054,0.29470947,0.44811213,0.4309853,0.43189013,0.59406066,0.54225135,0.68303573,0.4919928,0.5255946,0.60394615,0.17565775,528,389
5,0.42253688,0.31649318,0.40353554,0.43053043,0.43758973,0.5687971,0.656064,0.6788331,0.7496279,0.489458,0.5832645,0.02552414,320,252
6,0.42685735,0.3303503,0.36859417,0.4321044,0.44297844,0.5563152,0.64136714,0.6786129,0.7302368,0.47136676,0.5717814,0.033913724,688,616
7,0.4191432,0.3330951,0.35258576,0.42255184,0.43506366,0.5478578,0.62677896,0.679821,0.7226592,0.45879832,0.55336076,0.035621807,300,236
8,0.4098495,0.33158046,0.33626118,0.41261208,0.42476162,0.54068315,0.6132438,0.6798863,0.7129409,0.44879478,0.5380091,0.040254816,705,681
9,0.39677885,0.32224783,0.32177648,0.40045312,0.41002408,0.5327572,0.5969322,0.67681247,0.69510955,0.4392629,0.5230558,0.047692973,829,809
10,0.39311236,0.31720605,0.30784634,0.4014087,0.4024446,0.52394354,0.5766613,0.66924596,0.674259,0.43048042,0.50374514,0.046123654,237,244
11,0.3889028,0.31334516,0.29272312,0.3998585,0.39568523,0.5147981,0.56154346,0.6585198,0.65893704,0.42257196,0.48923278,0.050998446,429,345
12,0.38403624,0.3132647,0.27873373,0.39476606,0.3899396,0.50635743,0.5520494,0.64729464,0.65093666,0.41581994,0.47924474,0.050203796,537,535
13,0.3785685,0.31331462,0.27137125,0.3886512,0.38382977,0.49847046,0.5434175,0.6361201,0.6453411,0.4097951,0.46929777,0.050463382,206,190
14,0.37053004,0.30913642,0.25999606,0.3803192,0.37518921,0.49038815,0.53417605,0.6238115,0.6357851,0.40398273,0.46056938,0.051072344,413,392
15,0.35694054,0.2983381,0.25195336,0.36655873,0.36112475,0.48162696,0.52498573,0.61031896,0.62447816,0.39775604,0.45283905,0.052789953,728,687
16,0.35558704,0.30098376,0.2436027,0.36457467,0.35946095,0.47390607,0.51994133,0.59799385,0.62255234,0.39246657,0.44636926,0.053117085,207,177
17,0.35312232,0.30177388,0.23664205,0.36168253,0.35666132,0.46683013,0.51478446,0.58641326,0.61981535,0.38775745,0.44019172,0.05366729,187,192
18,0.35310787,0.29905263,0.23248391,0.36420923,0.35495263,0.46048665,0.51024735,0.5760364,0.619509,0.38354883,0.433748,0.05651225,234,214
19,0.35057083,0.28948766,0.22362258,0.3684087,0.3495948,0.45430803,0.40622795,0.5670334,0.54833275,0.3789695,0.32261875,0.26577464,678,612
20,0.34553465,0.27888998,0.2169093,0.3691937,0.342224,0.44805923,0.4018101,0.5588545,0.54747313,0.3739267,0.31736946,0.2826616,829,821
21,0.3371469,0.26824173,0.20923255,0.36313987,0.33262104,0.44154966,0.3982195,0.5505903,0.54405785,0.36855903,0.31403917,0.28848463,832,823
22,0.3277973,0.2602602,0.20145932,0.35342047,0.32313985,0.43492383,0.3952723,0.54192746,0.539474,0.3632083,0.311901,0.2925642,877,862
23,0.33125916,0.26510546,0.19205663,0.3554068,0.32753903,0.42936018,0.45411977,0.53417754,0.6979806,0.3589302,0.33653945,0.15902208,330,346
24,0.33389267,0.26861963,0.18425894,0.35660544,0.33123198,0.4246519,0.46744174,0.52719945,0.69896823,0.3555019,0.3511325,0.13000582,538,512
25,0.3342288,0.27011645,0.17749594,0.3557881,0.33229595,0.42053398,0.47151476,0.52087593,0.69920367,0.3526074,0.3556883,0.11887859,654,579
26,0.33430296,0.27067167,0.171509,0.35439152,0.33357304,0.416983,0.4785756,0.5153201,0.6975025,0.35016245,0.3642481,0.10788467,270,254
27,0.33250263,0.26983935,0.16652144,0.3515971,0.3324089,0.4137645,0.47782487,0.51027507,0.6839612,0.34795436,0.36716613,0.10487439,646,588
28,0.32891944,0.26751775,0.16165031,0.34736645,0.32906014,0.41058886,0.46884063,0.5052123,0.6562415,0.34581888,0.36469564,0.10451774,864,858
29,0.32550883,0.26451138,0.15688848,0.34392798,0.3254717,0.4074431,0.46313107,0.5001664,0.64535165,0.34372216,0.36115566,0.10753816,823,833
30,0.32960865,0.26434493,0.15211245,0.34957358,0.32894456,0.40480873,0.47144014,0.49574006,0.64312375,0.34206524,0.37210554,0.09768158,238,230
31,0.3338712,0.26353386,0.14722332,0.35561493,0.3326417,0.402655,0.4800999,0.4919326,0.64506304,0.34080464,0.38232675,0.091227375,135,127
32,0.33552176,0.26181498,0.14258675,0.3574243,0.33473444,0.40075144,0.48146766,0.48834488,0.63601816,0.33980188,0.38734415,0.08876616,261,235
33,0.33450258,0.2598357,0.13840437,0.35573983,0.3345032,0.39892325,0.47858226,0.484776,0.62774944,0.33890414,0.38669494,0.09043367,544,494
34,0.33231512,0.25779065,0.1346223,0.35264608,0.33311164,0.3970954,0.47433218,0.4811726,0.6212201,0.33803007,0.38362405,0.090785176,645,705
35,0.32857826,0.2541586,0.13081396,0.34794563,0.33021542,0.3951791,0.46706656,0.4774271,0.61052734,0.33710492,0.37819815,0.090953544,516,518
36,0.32350892,0.24899358,0.12704554,0.34195447,0.32600287,0.3931057,0.45818025,0.4734775,0.59765863,0.33606023,0.37148502,0.09138862,414,407
37,0.31891972,0.24414477,0.12365626,0.33648944,0.32228646,0.39093062,0.45001033,0.46939895,0.58523375,0.3349396,0.3655474,0.09241019,521,506
38,0.31522575,0.24064131,0.12080537,0.33202526,0.31926206,0.38871247,0.44296274,0.46528476,0.57510656,0.33378175,0.36019883,0.095419265,763,725
39,0.31263483,0.23862627,0.11820647,0.32884082,0.3170758,0.38651028,0.43745664,0.46122512,0.5677581,0.33262727,0.35579994,0.09785142,849,857
40,0.3108166,0.23735514,0.115418404,0.326442,0.31565025,0.38434544,0.43305978,0.45723784,0.5615574,0.3314983,0.35241818,0.098942414,623,660
41,0.30897698,0.23507191,0.11290938,0.32457405,0.31385273,0.3821951,0.4284741,0.4533493,0.5563346,0.3303465,0.34840202,0.09833114,277,308
