timestamp;actual;predicted
1;[2];[2]
2;[3];[3]
3;[3];[3]
4;[2];[3]
5;[3];[3]
6;[2];[3]
7;[3];[3]
8;[3];[2]
9;[3];[3]
10;[2];[3]
11;[3];[3]
12;[3];[3]
13;[3];[3]
14;[2];[2, 3]
15;[2];[3]
16;[3];[3]
17;[3];[3]
18;[3];[3]
19;[3];[3]
20;[3];[3]
21;[2];[2, 3]
22;[2];[2]
23;[3];[3]
24;[2];[3]
25;[2];[3]
26;[3];[3]
27;[3];[3]
28;[3];[3]
29;[3];[3]
30;[3];[3]
31;[3];[3]
32;[3];[3]
33;[3];[3]
34;[2];[2, 3]
35;[3];[3]
36;[3];[3]
37;[2];[3]
38;[3];[3]
39;[3];unknwon
40;[2];[2]
41;[3];[3]
42;[3];[3]
43;[3];[3]
44;[2];[2, 3]
45;[2];[3]
46;[3];[3]
47;[2];[3]
48;[3];[3]
49;[3];[3]
50;[3];[3]
51;[2];[2, 3]
52;[2];[3]
53;[2];[3]
54;[3];[3]
55;[3];[3]
56;[3];[3]
57;[3];[3]
58;[2];[2, 3]
59;[2];[3]
60;[3];[3]
61;[3];[3]
62;[2];[2, 3]
63;[2];[2, 3]
64;[2];[2, 3]
65;[2];[3]
66;[3];[3]
67;[3];[3]
68;[2];[2, 3]
69;[3];[3]
70;[3];[3]
71;[2];[2]
72;[3];[3]
73;[2];[3]
74;[3];[3]
75;[3];[3]
76;[2];[3]
77;[3];[3]
78;[2];[2, 3]
79;[2];[2, 3]
80;[3];[3]
81;[3];[3]
82;[2];[2, 3]
83;[2];[2, 3]
84;[2];[2, 3]
85;[2];[3]
86;[3];[3]
87;[2];[2]
88;[2];[3]
89;[2];[3]
90;[3];[3]
91;[2];[3]
92;[3];[3]
93;[3];[3]
94;[2];[2]
95;[2];[2, 3]
96;[2];[3]
97;[3];[3]
98;[3];[3]
99;[3];[3]
100;[3];[3]
101;[3];[3]
102;[3];[3]
103;[3];[3]
104;[2];[3]
105;[3];[3]
106;[2];unknwon
107;[3];[3]
108;[3];[3]
109;[3];[3]
110;[3];[3]
111;[2];[3]
112;[2];[2, 3]
113;[2];[2, 3]
114;[2];[3]
115;[3];[3]
116;[3];[3]
117;[3];[3]
118;[2];[3]
119;[3];[3]
120;[2];[2]
121;[2];[3]
122;[3];[3]
123;[3];[3]
124;[2];[3]
125;[3];[3]
126;[2];[3]
127;[3];[3]
128;[3];[3]
129;[3];[3]
130;[2];[2, 3]
131;[2];[2]
132;[3];[3]
133;[2];[2]
134;[3];[3]
135;[3];[3]
136;[2];[2, 3]
137;[2];[2]
138;[2];[2, 3]
139;[3];[3]
140;[2];[3]
141;[2];[2, 3]
142;[2];[2, 3]
143;[2];[2, 3]
144;[3];[3]
145;[3];[3]
146;[2];[3]
147;[2];[2, 3]
148;[2];[3]
149;[3];[3]
150;[3];[3]
151;[2];[2]
152;[3];[3]
153;[3];[3]
154;[3];[3]
155;[3];[3]
156;[3];[3]
157;[2];[3]
158;[2];[3]
159;[2];[2, 3]
160;[2];[3]
161;[3];[3]
162;[2];[2]
163;[3];[3]
164;[3];[3]
165;[2];[2, 3]
166;[3];[3]
167;[2];[3]
168;[2];[3]
169;[2];[3]
170;[3];[3]
171;[2];[2]
172;[3];unknwon
173;[3];[2]
174;[2];[3]
175;[2];[2]
176;[2];[3]
177;[2];[2]
178;[2];[3]
179;[2];[2, 3]
180;[2];[3]
181;[2];[2, 3]
182;[2];[2, 3]
183;[2];[3]
184;[3];[3]
185;[2];[2, 3]
186;[3];[3]
187;[3];[3]
