Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.9818775,0.92654425,0.0,0.9850674,0.9861805,0.98039794,0.97973293,0.9817001,0.9816472,0.9790992,0.9778261,0.0011547344,3,0
2,0.9685922,0.8879911,0.0,0.98648685,0.96498716,0.9724798,0.96836364,0.98265725,0.98255783,0.962511,0.95457363,0.0026519375,8,0
3,0.96161366,0.86835253,0.0,0.98738676,0.9534209,0.96732223,0.96233344,0.98346364,0.9834719,0.95170206,0.94208455,0.0037684904,11,5
4,0.95527804,0.84877235,0.0,0.9876994,0.9433803,0.9629695,0.9571064,0.98397475,0.98383826,0.9428423,0.93178886,0.004440359,10,9
5,0.95010054,0.8326818,0.0,0.98804826,0.9352515,0.95921975,0.9525307,0.9844295,0.9845438,0.93526894,0.9225339,0.005193695,15,12
6,0.94510394,0.81547344,0.0,0.9877731,0.9278021,0.9556971,0.94774246,0.9846446,0.98442173,0.9284031,0.9136984,0.005604558,12,11
7,0.94084686,0.8026515,0.0,0.98677003,0.92194957,0.9525351,0.94395095,0.9845462,0.98338413,0.92254,0.90755826,0.0060639214,20,16
8,0.93703717,0.7898601,1.3986015E-4,0.98631865,0.916465,0.94970095,0.94087726,0.98440856,0.9831681,0.9173573,0.90207464,0.0063069486,21,23
9,0.93340874,0.7784692,3.1113878E-4,0.9855445,0.9115329,0.947069,0.9376886,0.9841784,0.9825395,0.91265625,0.8967536,0.006941023,30,18
10,0.9299669,0.76654327,7.2902645E-4,0.9843643,0.9069691,0.94461733,0.93476284,0.9838317,0.9815068,0.9084092,0.8922687,0.0075449613,38,33
11,0.92496586,0.7506504,0.0011732898,0.9832334,0.9000463,0.9420161,0.9303314,0.9834346,0.98066837,0.9039453,0.8849097,0.008839914,29,0
12,0.9205922,0.737596,0.0014042314,0.9816339,0.89451706,0.93941146,0.92656076,0.9829246,0.97937155,0.89958763,0.87915415,0.009831725,39,41
13,0.9157497,0.72527474,0.0019036082,0.97923,0.8886749,0.9368162,0.922956,0.9822713,0.9776748,0.89538205,0.87403756,0.011008584,50,36
14,0.91146165,0.71559596,0.0028561084,0.97665685,0.8837934,0.9342807,0.9196627,0.9814984,0.9758937,0.89139754,0.86955875,0.012194254,55,45
15,0.90678537,0.7041327,0.003835596,0.9740096,0.8781593,0.93173426,0.9158824,0.9806446,0.9741411,0.88747096,0.86419886,0.013464946,66,53
16,0.90176415,0.69328815,0.005190128,0.97072333,0.87234414,0.9291649,0.9119646,0.9796865,0.97205716,0.8835984,0.85886925,0.014694531,70,61
17,0.8969749,0.6827238,0.0049140872,0.96722543,0.8670327,0.9266083,0.6812328,0.9786103,0.7271941,0.879854,0.640736,0.2617413,209,76
18,0.8924319,0.6736002,0.0047113877,0.9640623,0.8619429,0.9241141,0.6787397,0.97748953,0.7256607,0.87626594,0.63751805,0.2626222,513,80
