Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
33523,NP1,5,34200,18
33523,NP2,,,
33523,NP3,,,
33523,NP4,,,
33523,NP5,5,34200,18
33523,NP6,5,34200,18
33523,NP7,,,
33523,NP8,6,70200,38
33523,NP9,,,
33523,NP10,5,34200,18
33523,NP11,,,
33523,NP12,,,
33523,NP13,5,34200,18
33523,NP14,,,
33523,NP15,5,45000,24
33523,NP16,,,
33523,NP17,5,34200,18
33523,NP18,,,
33523,NP19,,,
33523,NP20,5,41400,22
33523,NP21,5,34200,18
33523,NP22,5,64800,35
33523,NP23,,,
33523,NP24,5,34200,18
33523,NP25,,,
33523,NP26,,,
33523,NP27,5,36000,19
33523,NP28,5,34200,18
33523,NP29,,,
33523,NP30,5,34200,18
33523,NP31,,,
33523,NP32,,,
33523,NP33,5,72000,39
33523,NP34,5,34200,18
33523,NP35,5,34200,18
33523,NP36,5,34200,18
33523,NP37,,,
33523,NP38,5,34200,18
33523,NP39,5,48600,26
33523,NP40,,,
33523,NP41,,,
33523,NP42,5,34200,18
33523,NP43,5,34200,18
33523,NP44,5,34200,18
33523,NP45,5,34200,18
33523,NP46,5,34200,18
33523,NP47,5,50400,27
33523,NP48,5,34200,18
33523,NP49,,,
33523,NP50,,,
33523,NP51,5,34200,18
33523,NP52,5,34200,18
33523,NP53,,,
33523,NP54,5,34200,18
33523,NP55,,,
33523,NP56,5,36000,19
33523,NP57,5,50400,27
33523,NP58,,,
33523,NP59,6,70200,38
33523,NP60,5,34200,18
33523,NP61,5,34200,18
33523,NP62,,,
33523,NP63,,,
33523,NP64,,,
33523,NP65,,,
33523,NP66,,,
33523,NP67,,,
33523,NP68,,,
33523,NP69,5,34200,18
33523,NP70,,,
33523,NP71,5,36000,19
33523,NP72,,,
33523,NP73,,,
33523,NP74,5,34200,18
33523,NP75,,,
33523,NP76,,,
33523,NP77,5,34200,18
33523,NP78,5,34200,18
33523,NP79,,,
33523,NP80,,,
33523,NP81,6,72000,39
33523,NP82,,,
33523,NP83,5,34200,18
33523,NP84,,,
33523,NP85,5,34200,18
33523,NP86,5,84600,46
33523,NP87,,,
33523,NP88,,,
33523,NP89,5,34200,18
33523,NP90,,,
33523,NP91,5,34200,18
33523,NP92,,,
33523,NP93,,,
33523,NP94,,,
33523,NP95,,,
33523,NP96,5,39600,21
33523,NP97,,,
33523,NP98,,,
33523,NP99,,,
33523,NP100,5,34200,18
