Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.9696269,0.9197708,0.0,0.96819484,0.9829036,0.9682764,0.9699178,0.956869,0.95828164,0.9799591,0.98183984
MINAS-BR,2,0.96918184,0.9153424,0.0,0.97091424,0.97996736,0.9674786,0.97005475,0.95873785,0.9607992,0.9763801,0.9794903
MINAS-BR,3,0.9660253,0.9085792,0.0,0.96984994,0.97541404,0.9655882,0.96741503,0.9590404,0.96056384,0.9722261,0.97436464
MINAS-BR,4,0.9619643,0.89719075,0.0,0.9688433,0.97014236,0.96299213,0.96420455,0.9586965,0.9607027,0.9673265,0.96773195
MINAS-BR,5,0.95620143,0.8848998,0.0,0.9665032,0.96226865,0.95977956,0.9590492,0.9581527,0.95981586,0.9614119,0.9582838
MINAS-BR,6,0.94678193,0.85792184,0.0,0.9639165,0.94951195,0.9550771,0.9509357,0.95722044,0.958502,0.95294327,0.94348794
MINAS-BR,7,0.9364509,0.8304608,0.0,0.9606195,0.9359139,0.9493648,0.9415264,0.9559563,0.9569276,0.9428636,0.9266132
MINAS-BR,8,0.9263493,0.8057013,0.0,0.95700526,0.92285234,0.94322413,0.93289864,0.9544933,0.9551443,0.932218,0.91166574
MINAS-BR,9,0.91558844,0.7813256,0.0,0.9533733,0.9093108,0.93671894,0.9239989,0.95283675,0.95302904,0.9211374,0.8966851
MINAS-BR,10,0.84118974,0.7076835,0.0020286548,0.8755413,0.83856755,0.92581874,0.8833404,0.951202,0.9511577,0.90175503,0.8245503
MINAS-BR,11,0.7949322,0.6507774,0.013155647,0.8252069,0.7997746,0.9140091,0.86028045,0.9493975,0.9489025,0.881164,0.7867981
MINAS-BR,12,0.75454825,0.6025973,0.024524007,0.78253347,0.76358545,0.90172666,0.83733857,0.94740576,0.9465345,0.8602498,0.75073135
MINAS-BR,13,0.71964437,0.5623338,0.035178505,0.7467232,0.73064977,0.88921463,0.81507397,0.9451611,0.94342023,0.83952135,0.7174671
MINAS-BR,14,0.6876653,0.5265376,0.04622679,0.7137282,0.70045745,0.87644964,0.7919584,0.9424751,0.93852454,0.8190695,0.6849865
MINAS-BR,15,0.6601655,0.49546385,0.054393135,0.6854803,0.6742965,0.8637213,0.77032554,0.93942153,0.9330395,0.79931134,0.655936
MINAS-BR,16,0.6346,0.46727613,0.062043376,0.65928143,0.6496076,0.8509661,0.74843794,0.93594515,0.9263981,0.78013384,0.62783206
MINAS-BR,17,0.61444175,0.44353878,0.06048256,0.6404845,0.6289582,0.8379409,0.6793157,0.93121904,0.8003025,0.76164824,0.59010565
MINAS-BR,18,0.6002183,0.42286223,0.059039075,0.6305766,0.6133356,0.8253075,0.6826969,0.9263561,0.83767456,0.7441357,0.5761109
