Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
EaBR,0.9821382,0.9363272,0.0,0.44156387,0.9860176,0.9856894,0.9835552,0.98608106,0.9840715,0.9852982,0.9830397,0.0,0.0,0
EaCC,0.9793674,0.9302406,0.0,0.27054805,0.98565704,0.98442185,0.98129326,0.98242563,0.979135,0.9864265,0.9834627,0.0,0.0,0
CC,0.97518957,0.9131271,1.551068E-5,0.10722231,0.9811761,0.98085487,0.9742059,0.980389,0.9743671,0.9813257,0.9740535,0.0,0.0,0
BR,0.97755677,0.92279947,4.6532048E-5,0.11456126,0.9818705,0.98248774,0.9804995,0.9827756,0.9808951,0.9821999,0.98010445,0.0,0.0,0
EaPS,0.93561274,0.8157461,0.006951426,0.47069797,0.9409513,0.9460285,0.9195593,0.9552575,0.93190384,0.93709016,0.90803146,0.0,0.0,0
PS,0.83766466,0.6345483,0.0019293763,0.888749,0.82486296,0.9058746,0.71925247,0.94587564,0.7352564,0.8691452,0.70466155,0.0,0.0,0
MLHT,0.84446967,0.656615,0.002080809,0.8866681,0.8362443,0.9159755,0.72418576,0.94114435,0.72976214,0.89217305,0.71913373,0.0,0.0,0
EaMLHT,0.9501349,0.84105086,1.998621E-4,0.47490573,0.9664859,0.9594107,0.94255155,0.95159686,0.9399014,0.9673623,0.9456027,0.0,0.0,0
ISOUPTree,0.9140666,0.7082866,2.4947687E-4,0.09592121,0.9363494,0.9314505,0.92388594,0.9310854,0.9225026,0.93181634,0.9252834,0.0,0.0,0
EaISOUPTree,0.9230778,0.7301933,9.511135E-5,0.9365723,0.942873,0.93837434,0.9306618,0.9376695,0.92823064,0.93908197,0.9331172,0.0,0.0,0
