@relation 'MOA: -C 7'

@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute class0- {0,1}
@attribute class1- {0,1}
@attribute class2- {0,1}
@attribute class3- {0,1}
@attribute class4- {0,1}
@attribute class5- {0,1}
@attribute class6- {0,1}

@data
0.302042,0.680818,0.746086,0,0,0,1,0,0,0
0.569699,0.205308,0.269524,1,0,0,0,0,0,0
0.637763,0.793483,0.433984,0,0,1,0,0,0,0
0.677161,0.253658,0.257772,1,0,0,0,0,0,0
0.72266,0.688959,0.51239,0,0,1,0,0,0,0
0.78616,0.846969,0.568613,0,0,1,0,0,0,0
0.492092,0.514566,0.290618,0,0,0,0,1,0,0
0.658977,0.179198,0.247948,1,0,0,0,0,0,0
0.796343,0.181231,0.271424,1,0,0,0,0,0,0
0.199222,0.686857,0.759135,0,0,0,1,0,0,0
0.407653,0.707537,0.679901,0,1,0,1,0,0,0
0.725833,0.141917,0.228274,1,0,0,0,0,0,0
0.64048,0.788078,0.642523,0,1,1,0,0,0,0
0.641382,0.703481,0.672191,0,1,1,0,0,0,0
0.676294,0.849526,0.622471,0,1,1,0,0,0,0
0.64837,0.795436,0.59903,0,1,1,0,0,0,0
0.181385,0.72024,0.779659,0,0,0,1,0,0,0
0.284028,0.798932,0.89885,0,0,0,1,0,0,0
0.155116,0.595869,0.720796,0,0,0,1,0,0,0
0.514038,0.504743,0.293937,0,0,0,0,1,0,0
0.665442,0.223187,0.252784,1,0,0,0,0,0,0
0.787616,0.223171,0.264419,1,0,0,0,0,0,0
0.390905,0.682794,0.319711,0,0,0,0,1,0,0
0.679119,0.298438,0.175149,1,0,0,0,0,0,0
0.564101,0.647651,0.282861,0,0,0,0,1,0,0
0.381465,0.517178,0.287091,0,0,0,0,1,0,0
0.582552,0.304296,0.290484,1,0,0,0,0,0,0
0.263839,0.612947,0.696064,0,0,0,1,0,0,0
0.708509,0.142649,0.273083,1,0,0,0,0,0,0
0.629873,0.877548,0.483867,0,0,1,0,0,0,0
0.458272,0.6454,0.893884,0,0,0,1,0,0,0
0.228715,0.656805,0.811632,0,0,0,1,0,0,0
0.437606,0.545897,0.282667,0,0,0,0,1,0,0
0.698358,0.649463,0.724349,0,1,1,0,0,0,0
