@relation 'MOA: -C 7'

@attribute a_7 numeric
@attribute a_8 numeric
@attribute class0- {0,1}
@attribute class1- {0,1}
@attribute class2- {0,1}
@attribute class3- {0,1}
@attribute class4- {0,1}
@attribute class5- {0,1}
@attribute class6- {0,1}

@data
0.607097,0.591984,1,0,1,0,0,0,0
0.401139,0.399705,0,0,0,1,0,0,0
0.417436,0.562005,1,0,1,0,0,0,0
0.431535,0.394172,0,0,0,1,0,0,0
0.496157,0.648744,1,0,1,0,0,0,0
0.241304,0.248666,0,0,0,1,1,0,0
0.226596,0.389823,0,0,0,1,1,0,0
0.431967,0.425308,0,0,0,1,0,0,0
0.338706,0.399613,0,0,0,1,0,0,0
0.494719,0.635429,1,0,1,0,0,0,0
0.507602,0.698872,1,0,1,0,0,0,0
0.325357,0.20945,0,0,0,1,1,0,0
0.752606,0.814808,0,1,0,0,0,0,0
0.34146,0.322002,0,0,0,1,1,0,0
0.800408,0.84642,0,1,0,0,0,0,0
0.336577,0.439955,0,0,0,1,0,0,0
0.547614,0.645109,1,0,1,0,0,0,0
0.46363,0.618105,1,0,1,0,0,0,0
0.619347,0.526422,0,0,1,0,0,0,0
0.578815,0.530991,1,0,1,0,0,0,0
0.250713,0.101268,0,0,0,0,1,0,0
0.823663,0.776261,0,1,0,0,0,0,0
0.56617,0.616207,1,0,1,0,0,0,0
0.25588,0.257448,0,0,0,1,1,0,0
0.529622,0.605076,1,0,1,0,0,0,0
0.339094,0.331346,0,0,0,1,1,0,0
0.33883,0.32901,0,0,0,1,1,0,0
0.816505,0.793403,0,1,0,0,0,0,0
0.327199,0.328732,0,0,0,1,1,0,0
0.961433,0.875247,0,1,0,0,0,0,0
0.664513,0.55666,0,0,1,0,0,0,0
0.407551,0.397013,0,0,0,1,0,0,0
0.444852,0.328298,0,0,0,1,0,0,0
0.460903,0.558003,1,0,1,0,0,0,0
0.501062,0.635428,1,0,1,0,0,0,0
0.501782,0.605674,1,0,1,0,0,0,0
0.390949,0.437245,0,0,0,1,0,0,0
0.419326,0.7096,1,0,0,0,0,0,0
0.201328,0.170016,0,0,0,0,1,0,0
0.467953,0.712565,1,0,1,0,0,0,0
0.835401,0.713766,0,1,0,0,0,0,0
0.548934,0.626016,1,0,1,0,0,0,0
0.30566,0.327037,0,0,0,1,1,0,0
0.435623,0.393589,0,0,0,1,0,0,0
0.827173,0.89064,0,1,0,0,0,0,0
0.533102,0.624779,1,0,1,0,0,0,0
0.673065,0.627131,0,0,1,0,0,0,0
0.263817,0.199461,0,0,0,1,1,0,0
0.370014,0.233486,0,0,0,1,1,0,0
0.853838,0.682929,0,1,0,0,0,0,0
0.806808,0.828609,0,1,0,0,0,0,0
0.517655,0.564025,1,0,1,0,0,0,0
0.823841,0.874151,0,1,0,0,0,0,0
0.350067,0.332576,0,0,0,1,1,0,0
0.488341,0.629952,1,0,1,0,0,0,0
0.520546,0.518482,1,0,1,0,0,0,0
0.644664,0.505433,0,0,1,0,0,0,0
0.56802,0.615396,1,0,1,0,0,0,0
0.396015,0.446545,0,0,0,1,0,0,0
0.535155,0.686001,1,0,1,0,0,0,0
0.494158,0.594383,1,0,1,0,0,0,0
0.325581,0.337644,0,0,0,1,1,0,0
0.367725,0.209822,0,0,0,1,1,0,0
0.730942,0.895822,0,1,0,0,0,0,0
0.382069,0.698172,1,0,0,0,0,0,0
0.4579,0.607713,1,0,1,0,0,0,0
0.575922,0.625997,1,0,1,0,0,0,0
0.559097,0.657251,1,0,1,0,0,0,0
0.155626,0.338849,0,0,0,0,1,0,0
0.495856,0.672982,1,0,1,0,0,0,0
0.464598,0.537727,1,0,1,0,0,0,0
0.207405,0.246635,0,0,0,1,1,0,0
0.547844,0.624524,1,0,1,0,0,0,0
0.238581,0.164426,0,0,0,0,1,0,0
0.500765,0.650909,1,0,1,0,0,0,0
0.627515,0.749815,0,0,1,0,0,0,0
0.856425,0.965743,0,1,0,0,0,0,0
0.322773,0.227907,0,0,0,1,1,0,0
0.531386,0.607941,1,0,1,0,0,0,0
0.735806,0.703873,0,1,0,0,0,0,0
0.430769,0.376561,0,0,0,1,0,0,0
0.625652,0.61323,1,0,1,0,0,0,0
0.329647,0.332731,0,0,0,1,1,0,0
0.543111,0.67932,1,0,1,0,0,0,0
0.311052,0.20948,0,0,0,1,1,0,0
0.485181,0.616699,1,0,1,0,0,0,0
0.341184,0.330353,0,0,0,1,1,0,0
0.328846,0.308601,0,0,0,1,1,0,0
0.272847,0.275701,0,0,0,1,1,0,0
0.321598,0.367111,0,0,0,1,1,0,0
0.690258,0.654888,0,0,1,0,0,0,0
0.099857,0.254711,0,0,0,0,1,0,0
0.879847,0.848546,0,1,0,0,0,0,0
0.511111,0.681643,1,0,1,0,0,0,0
0.49685,0.70866,1,0,1,0,0,0,0
0.379925,0.698178,1,0,0,0,0,0,0
0.384867,0.687887,1,0,0,0,0,0,0
0.896243,0.725769,0,1,0,0,0,0,0
0.581901,0.642162,1,0,1,0,0,0,0
0.43646,0.571428,1,0,1,0,0,0,0
0.399094,0.542352,1,0,0,0,0,0,0
0.266195,0.407723,0,0,0,1,1,0,0
0.397543,0.344069,0,0,0,1,0,0,0
0.902505,0.730809,0,1,0,0,0,0,0
0.861583,0.778791,0,1,0,0,0,0,0
0.468025,0.283065,0,0,0,1,0,0,0
0.555032,0.63221,1,0,1,0,0,0,0
0.497289,0.626667,1,0,1,0,0,0,0
0.327592,0.400303,0,0,0,1,0,0,0
0.219613,0.244628,0,0,0,1,1,0,0
0.452775,0.336563,0,0,0,1,0,0,0
0.585596,0.602539,1,0,1,0,0,0,0
0.257957,0.327106,0,0,0,1,1,0,0
0.628492,0.60844,1,0,1,0,0,0,0
0.071402,0.251723,0,0,0,0,1,0,0
0.260825,0.31524,0,0,0,1,1,0,0
0.437293,0.619448,1,0,1,0,0,0,0
0.555177,0.688518,1,0,1,0,0,0,0
0.400547,0.273607,0,0,0,1,0,0,0
0.868279,0.838636,0,1,0,0,0,0,0
0.545167,0.629202,1,0,1,0,0,0,0
0.322713,0.398068,0,0,0,1,0,0,0
