@relation 'MOA: -C 5'

@attribute a_5 numeric
@attribute a_6 numeric
@attribute class0- {0,1}
@attribute class1- {0,1}
@attribute class2- {0,1}
@attribute class3- {0,1}
@attribute class4- {0,1}

@data
0.395963,0.4722,1,0,0,0,0
0.797855,0.86749,0,1,0,0,0
0.519507,0.628945,1,0,0,0,0
0.373405,0.538598,1,0,0,0,0
0.49039,0.613181,1,0,0,0,0
0.511773,0.646913,1,0,0,0,0
0.701665,0.616629,0,1,1,0,0
0.882265,0.90277,0,1,0,0,0
0.455819,0.586639,1,0,0,0,0
0.776957,0.517084,0,0,1,0,0
0.499888,0.535755,1,0,0,0,0
0.504553,0.637957,1,0,0,0,0
0.845273,0.666722,0,1,1,0,0
0.530365,0.630043,1,0,0,0,0
0.747906,0.513053,0,0,1,0,0
0.708983,0.583255,0,1,1,0,0
0.764028,0.505503,0,0,1,0,0
0.909086,0.638634,0,1,1,0,0
0.737265,0.613387,0,1,1,0,0
0.482841,0.621789,1,0,0,0,0
0.747251,0.503278,0,0,1,0,0
0.461436,0.611996,1,0,0,0,0
0.819818,0.647317,0,1,1,0,0
0.386503,0.490498,1,0,0,0,0
0.776442,0.746386,0,1,1,0,0
0.764725,0.640678,0,1,1,0,0
0.370264,0.562523,1,0,0,0,0
0.947874,0.760911,0,1,0,0,0
0.489683,0.648974,1,0,0,0,0
0.771314,0.575359,0,1,1,0,0
0.727696,0.806027,0,1,1,0,0
0.719123,0.577901,0,1,1,0,0
0.457387,0.552868,1,0,0,0,0
0.397827,0.649452,1,0,0,0,0
0.550927,0.574814,1,0,0,0,0
0.781936,0.665273,0,1,1,0,0
0.493184,0.628826,1,0,0,0,0
0.729794,0.594525,0,1,1,0,0
0.896141,0.805594,0,1,0,0,0
0.950183,0.765467,0,1,0,0,0
0.760348,0.624206,0,1,1,0,0
0.442955,0.720716,1,0,0,0,0
0.747863,0.624184,0,1,1,0,0
0.63174,0.619623,1,1,1,0,0
0.79869,0.618977,0,1,1,0,0
0.594705,0.636236,1,0,1,0,0
0.493248,0.517175,1,0,0,0,0
0.505192,0.497662,1,0,0,0,0
0.529863,0.575097,1,0,0,0,0
0.460765,0.714728,1,0,0,0,0
0.453892,0.639935,1,0,0,0,0
0.898729,0.838284,0,1,0,0,0
0.663876,0.564822,1,0,1,0,0
0.733598,0.915719,0,1,0,0,0
0.909429,0.602181,0,1,1,0,0
0.566834,0.582478,1,0,1,0,0
0.455226,0.549002,1,0,0,0,0
0.503097,0.614184,1,0,0,0,0
0.615938,0.617063,1,1,1,0,0
0.656794,0.599914,1,1,1,0,0
0.790935,0.752734,0,1,1,0,0
0.375765,0.495432,1,0,0,0,0
0.590471,0.626673,1,0,1,0,0
0.649777,0.619527,1,1,1,0,0
0.751693,0.616379,0,1,1,0,0
0.76257,0.717399,0,1,1,0,0
0.78375,0.716579,0,1,1,0,0
0.741621,0.744754,0,1,1,0,0
0.73998,0.58535,0,1,1,0,0
0.906404,0.711707,0,1,1,0,0
0.450566,0.596252,1,0,0,0,0
0.737856,0.681148,0,1,1,0,0
0.375734,0.64797,1,0,0,0,0
0.87076,0.641276,0,1,1,0,0
0.715828,0.741579,0,1,1,0,0
0.937654,0.816248,0,1,0,0,0
0.762511,0.555904,0,1,1,0,0
0.861124,0.589665,0,1,1,0,0
0.77925,0.608817,0,1,1,0,0
0.561963,0.625305,1,0,1,0,0
0.60342,0.689027,1,1,1,0,0
0.528173,0.619209,1,0,0,0,0
0.386813,0.472135,1,0,0,0,0
0.677513,0.785912,0,1,1,0,0
0.690202,0.75521,0,1,1,0,0
0.482998,0.640246,1,0,0,0,0
0.688041,0.916121,0,1,0,0,0
0.510503,0.724725,1,0,0,0,0
0.661245,0.681413,1,1,1,0,0
0.715489,0.695001,0,1,1,0,0
0.753949,0.666705,0,1,1,0,0
0.628606,0.714505,1,1,1,0,0
0.506695,0.624114,1,0,0,0,0
0.577107,0.653366,1,0,1,0,0
0.885318,0.881592,0,1,0,0,0
0.854604,0.616894,0,1,1,0,0
0.524858,0.691944,1,0,0,0,0
0.79371,0.528966,0,0,1,0,0
0.719725,0.602823,0,1,1,0,0
0.778917,0.832439,0,1,0,0,0
0.72152,0.919479,0,1,0,0,0
0.822648,0.863702,0,1,0,0,0
0.431818,0.480579,1,0,0,0,0
0.601708,0.695774,1,1,1,0,0
0.604944,0.532493,1,0,1,0,0
0.762529,0.74006,0,1,1,0,0
0.518848,0.574328,1,0,0,0,0
0.834769,0.657121,0,1,1,0,0
0.779192,0.583671,0,1,1,0,0
0.500396,0.601184,1,0,0,0,0
0.933295,0.628712,0,1,1,0,0
0.741835,0.559811,0,1,1,0,0
0.751286,0.754825,0,1,1,0,0
0.852106,0.678049,0,1,1,0,0
0.953316,0.792988,0,1,0,0,0
0.854558,0.811452,0,1,0,0,0
0.529074,0.631071,1,0,0,0,0
0.367609,0.665565,1,0,0,0,0
0.76818,0.7432,0,1,1,0,0
0.54688,0.808022,1,0,0,0,0
0.497543,0.639285,1,0,0,0,0
0.795225,0.598639,0,1,1,0,0
0.730277,0.783161,0,1,1,0,0
0.369537,0.772119,1,0,0,0,0
0.547288,0.733773,1,0,0,0,0
0.656574,0.629353,1,1,1,0,0
0.293499,0.625934,1,0,0,0,0
0.800335,0.460625,0,0,1,0,0
0.793965,0.677255,0,1,1,0,0
0.491215,0.626583,1,0,0,0,0
0.744289,0.774425,0,1,1,0,0
0.627939,0.771929,1,1,1,0,0
0.770427,0.721258,0,1,1,0,0
0.833402,0.614613,0,1,1,0,0
0.841265,0.633822,0,1,1,0,0
0.552359,0.52061,1,0,0,0,0
0.718863,0.697742,0,1,1,0,0
0.417031,0.681504,1,0,0,0,0
0.503528,0.633704,1,0,0,0,0
0.871562,0.628055,0,1,1,0,0
0.588951,0.697489,1,1,1,0,0
0.664436,0.75035,0,1,1,0,0
0.46999,0.575375,1,0,0,0,0
0.819107,0.677676,0,1,1,0,0
0.816953,0.704657,0,1,1,0,0
0.60411,0.711154,1,1,1,0,0
0.307745,0.692187,1,0,0,0,0
0.816485,0.675599,0,1,1,0,0
0.727955,0.582865,0,1,1,0,0
0.448264,0.608793,1,0,0,0,0
0.7856,0.843787,0,1,0,0,0
0.646614,0.729914,1,1,1,0,0
0.580423,0.71186,1,1,1,0,0
0.507567,0.665045,1,0,0,0,0
0.518674,0.572233,1,0,0,0,0
0.507976,0.547901,1,0,0,0,0
0.928458,0.854504,0,1,0,0,0
0.841281,0.589428,0,1,1,0,0
0.70839,0.692954,0,1,1,0,0
0.788417,0.544876,0,1,1,0,0
0.469992,0.621886,1,0,0,0,0
0.572609,0.692679,1,0,1,0,0
0.54154,0.562453,1,0,0,0,0
0.705885,0.577174,0,1,1,0,0
0.572411,0.732253,1,0,0,0,0
0.772687,0.721491,0,1,1,0,0
0.691488,0.808897,0,1,1,0,0
0.839501,0.692736,0,1,1,0,0
0.429874,0.654985,1,0,0,0,0
0.738262,0.808554,0,1,1,0,0
0.678069,0.705923,0,1,1,0,0
0.830759,0.593762,0,1,1,0,0
0.471347,0.613445,1,0,0,0,0
0.779225,0.548616,0,1,1,0,0
0.648312,0.639452,1,1,1,0,0
0.894221,0.823595,0,1,0,0,0
0.786807,0.571789,0,1,1,0,0
0.568778,0.488804,1,0,0,0,0
0.631039,0.487589,1,0,1,0,0
0.719226,0.426212,0,0,1,0,0
0.694935,0.720204,0,1,1,0,0
0.491235,0.616939,1,0,0,0,0
0.634937,0.633829,1,1,1,0,0
0.497506,0.561364,1,0,0,0,0
0.592348,0.462638,1,0,0,0,0
0.755858,0.731323,0,1,1,0,0
0.833828,0.696818,0,1,1,0,0
0.463689,0.510359,1,0,0,0,0
0.79068,0.767118,0,1,1,0,0
0.491888,0.648006,1,0,0,0,0
0.464195,0.723279,1,0,0,0,0
0.785245,0.787238,0,1,1,0,0
0.542609,0.654317,1,0,0,0,0
0.691661,0.748419,0,1,1,0,0
0.520755,0.734241,1,0,0,0,0
0.943411,0.783278,0,1,0,0,0
0.805225,0.741501,0,1,1,0,0
0.460115,0.627347,1,0,0,0,0
0.664284,0.622947,1,1,1,0,0
0.811808,0.624647,0,1,1,0,0
0.441566,0.61239,1,0,0,0,0
0.789197,0.762123,0,1,1,0,0
0.475249,0.697975,1,0,0,0,0
0.781138,0.731713,0,1,1,0,0
0.696013,0.909,0,1,0,0,0
0.661385,0.72349,1,1,1,0,0
0.719459,0.877225,0,1,0,0,0
0.72878,0.682791,0,1,1,0,0
0.711439,0.584281,0,1,1,0,0
0.660344,0.740029,0,1,1,0,0
0.687774,0.872509,0,1,0,0,0
0.691979,0.691655,0,1,1,0,0
0.619117,0.477739,1,0,1,0,0
0.70179,0.907439,0,1,0,0,0
0.490404,0.592565,1,0,0,0,0
0.373677,0.547323,1,0,0,0,0
0.738571,0.922279,0,1,0,0,0
0.661682,0.59052,1,1,1,0,0
0.651841,0.717061,1,1,1,0,0
0.726602,0.638077,0,1,1,0,0
0.538362,0.452491,1,0,0,0,0
0.637588,0.75678,1,1,1,0,0
0.718105,0.749208,0,1,1,0,0
0.684841,0.80746,0,1,0,0,0
0.782087,0.584216,0,1,1,0,0
0.787765,0.837476,0,1,0,0,0
0.804251,0.736481,0,1,1,0,0
0.66509,0.612112,1,1,1,0,0
0.666955,0.698796,1,1,1,0,0
0.795503,0.736533,0,1,1,0,0
0.486323,0.615509,1,0,0,0,0
0.446252,0.623769,1,0,0,0,0
0.783861,0.703849,0,1,1,0,0
0.855951,0.847908,0,1,0,0,0
0.83744,0.743253,0,1,1,0,0
0.687932,0.639063,1,1,1,0,0
0.321266,0.624278,1,0,0,0,0
0.451823,0.702918,1,0,0,0,0
0.821979,0.56231,0,1,1,0,0
0.52962,0.690251,1,0,0,0,0
0.755111,0.581092,0,1,1,0,0
0.791014,0.780023,0,1,1,0,0
0.749418,0.895563,0,1,0,0,0
0.763543,0.67718,0,1,1,0,0
0.669242,0.498732,0,0,1,0,0
0.744232,0.687252,0,1,1,0,0
0.418434,0.611753,1,0,0,0,0
0.696636,0.577011,0,1,1,0,0
0.51914,0.539506,1,0,0,0,0
0.823263,0.885102,0,1,0,0,0
0.653447,0.621799,1,1,1,0,0
0.848193,0.590724,0,1,1,0,0
0.677363,0.791156,0,1,1,0,0
0.694409,0.710248,0,1,1,0,0
0.528051,0.671348,1,0,0,0,0
0.912979,0.723317,0,1,1,0,0
