Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.7459964,0.6527318,0.20736755,0.727856,0.7874586,0.74081236,0.76187277,0.70172226,0.74711525,0.78451455,0.77722514,0.015640054,212,185
2,0.71398884,0.5568636,0.20746335,0.7298978,0.73733896,0.7201206,0.7106,0.70374167,0.71542686,0.7372802,0.70583797,0.032163575,542,488
3,0.58808994,0.42515236,0.3643526,0.61327505,0.6010852,0.6785443,0.63985974,0.70494276,0.71806717,0.65405166,0.5770148,0.026247121,403,373
4,0.5045665,0.3481221,0.3360944,0.51909184,0.5269488,0.64438635,0.5662793,0.6967662,0.48579,0.5993312,0.67873746,0.13524531,542,376
5,0.48834002,0.34992296,0.32544646,0.4964731,0.5136434,0.62801737,0.70712996,0.7000628,0.770576,0.5694171,0.6533368,0.03485691,410,343
6,0.48028737,0.35523802,0.30893254,0.48499256,0.50615114,0.61956227,0.70128244,0.7077743,0.7845009,0.5509018,0.63402605,0.041300546,572,467
7,0.46338183,0.35442626,0.29995432,0.466834,0.48665926,0.6127058,0.6867411,0.71663684,0.7894967,0.5351021,0.6076531,0.040247295,386,365
8,0.4471377,0.35004604,0.2935183,0.45014575,0.4679657,0.60550857,0.6659518,0.7228814,0.7720197,0.5209268,0.5855086,0.04149281,585,590
9,0.42462984,0.33229232,0.28929836,0.42918134,0.44277015,0.5961022,0.641828,0.724748,0.74444216,0.50624204,0.56407565,0.04524475,788,765
10,0.4178797,0.32560074,0.28003696,0.42672974,0.43192363,0.5856446,0.61461246,0.7220488,0.7134897,0.49258843,0.5398049,0.04104492,200,170
11,0.40021944,0.3100788,0.27029732,0.4114062,0.41147122,0.57258976,0.5790993,0.7123761,0.6703639,0.47866368,0.5097069,0.039964598,287,255
12,0.37747046,0.2926482,0.2599692,0.38837305,0.3876825,0.55772877,0.54424417,0.6971402,0.6268961,0.46478316,0.4808477,0.041628994,629,586
13,0.35377386,0.2741062,0.24771398,0.36418158,0.3631976,0.5414992,0.50853086,0.67772985,0.5839951,0.4508697,0.4503379,0.043232214,721,715
14,0.33091083,0.25600055,0.23480645,0.3406743,0.3397737,0.5242974,0.4745145,0.6553963,0.544592,0.4369036,0.42041588,0.043655217,601,611
15,0.31719923,0.2463841,0.2240913,0.32635617,0.32563487,0.5078594,0.45575833,0.6332252,0.52212423,0.42392984,0.404361,0.042339522,738,710
16,0.31826228,0.25133768,0.2152861,0.3265089,0.32664225,0.49389803,0.45336744,0.61377174,0.5166359,0.41319776,0.40390435,0.04190272,231,215
17,0.31765515,0.25440398,0.20980248,0.3252632,0.32574427,0.48171824,0.44843873,0.5964231,0.5073552,0.4040172,0.40178192,0.04187983,328,328
18,0.31633437,0.2536579,0.21012364,0.32461184,0.32340255,0.47064567,0.43891045,0.58057827,0.49416193,0.39571664,0.3947717,0.04311059,309,293
19,0.3143168,0.24496521,0.20301473,0.3285817,0.3185607,0.46050426,0.32671025,0.5669409,0.36929324,0.38771516,0.29293236,0.285965,781,721
20,0.31620738,0.23570305,0.19547194,0.33935976,0.31651148,0.4517917,0.39822274,0.55597633,0.5776235,0.3804913,0.30385134,0.16684398,716,718
21,0.3251766,0.23281468,0.18502653,0.35361162,0.3231793,0.44504517,0.42021388,0.5475143,0.5662364,0.37488434,0.33406445,0.07548413,154,126
22,0.33232984,0.23846121,0.1766599,0.36036864,0.3308145,0.43974358,0.42533517,0.54042935,0.560683,0.37068278,0.34262592,0.06708225,449,440
23,0.3383315,0.24548583,0.16987969,0.3647565,0.33805,0.43561605,0.4341442,0.534495,0.56589437,0.36760998,0.35215604,0.06040919,737,669
24,0.34325987,0.25026193,0.16235304,0.36731413,0.34529182,0.4324222,0.4487139,0.52946216,0.57600164,0.3654436,0.36750156,0.05420862,209,194
25,0.3437511,0.2498932,0.15572354,0.36557344,0.34813112,0.42959183,0.44469437,0.52454466,0.5521661,0.3637466,0.3722424,0.05126694,331,305
26,0.34008068,0.24531546,0.15035291,0.36006907,0.34644103,0.42676258,0.43326363,0.5194213,0.526121,0.36215785,0.3682666,0.053851027,645,585
27,0.33622852,0.24170657,0.14533165,0.3547509,0.34390774,0.42397106,0.4284932,0.51435465,0.51255965,0.36060473,0.36811718,0.05088263,603,596
28,0.33655778,0.24175933,0.14012031,0.35343754,0.34584332,0.4214966,0.43581307,0.50965333,0.51533043,0.35934013,0.37755498,0.0484923,134,129
29,0.33526927,0.24024503,0.13556457,0.35167515,0.344918,0.41913584,0.4358907,0.50515544,0.5142081,0.35814896,0.37827665,0.047923006,283,270
30,0.33160138,0.23679097,0.13193609,0.3483176,0.3407159,0.41662145,0.42770112,0.5006143,0.50491667,0.35676378,0.37096974,0.049533814,472,449
31,0.3266782,0.23269033,0.12806398,0.3433381,0.3354772,0.4138424,0.41654158,0.49585968,0.49196357,0.35510632,0.36117113,0.050033502,441,452
32,0.32093886,0.22796634,0.12399486,0.3370138,0.3299918,0.41077638,0.40466663,0.4906926,0.47312245,0.3532454,0.35351652,0.04983101,388,379
33,0.31648883,0.22438724,0.12024245,0.33190006,0.32592422,0.40761936,0.39857075,0.4853471,0.46196568,0.35135093,0.35047552,0.049873527,458,446
34,0.31351283,0.22213446,0.11704547,0.32819182,0.32344723,0.40450862,0.39607868,0.48004386,0.45686325,0.34951255,0.34956926,0.051039495,634,615
35,0.3113542,0.22030954,0.11402729,0.32539964,0.32178694,0.40149638,0.3939284,0.47486863,0.45323142,0.34776324,0.34834874,0.052568212,658,663
36,0.3096635,0.21889675,0.11103514,0.3231218,0.32055578,0.3985834,0.39119226,0.46982872,0.4493283,0.3461004,0.3463766,0.05262339,515,560
37,0.3082833,0.21808684,0.108089104,0.32122365,0.3195108,0.395763,0.3882694,0.46489677,0.44328403,0.34452888,0.34540254,0.052717634,506,494
38,0.30690202,0.21774352,0.10549537,0.3193001,0.31837592,0.3930358,0.3850241,0.4600971,0.43611985,0.3430366,0.34464547,0.05345747,670,643
39,0.30569085,0.21731421,0.103128105,0.31755033,0.31747356,0.39041203,0.38215786,0.45545545,0.42956844,0.3416248,0.34417227,0.0543036,755,749
40,0.3059257,0.21801281,0.100776196,0.31742638,0.31789574,0.38795093,0.380691,0.45105717,0.42539003,0.34033546,0.34449247,0.055512715,680,679
41,0.30774274,0.21850644,0.098540775,0.32004702,0.31918803,0.38572848,0.38115162,0.4470601,0.4250413,0.33919474,0.3454777,0.05865003,670,649
42,0.31010067,0.21699847,0.09663931,0.32519066,0.3202004,0.38377842,0.38283816,0.4435869,0.4288728,0.33818167,0.34572813,0.0646421,795,763
43,0.31413895,0.21260522,0.09417339,0.33608752,0.32156894,0.3822011,0.3908109,0.4408728,0.44170973,0.33731145,0.35043034,0.06366801,239,266
44,0.31833002,0.20917326,0.09182827,0.3444768,0.3241373,0.3809618,0.39769828,0.43871424,0.45124015,0.3366457,0.3555147,0.063169666,169,150
45,0.3218019,0.21035948,0.08980368,0.34795013,0.32801983,0.37996107,0.40209395,0.43683568,0.4556243,0.3361902,0.3598195,0.063503794,463,431
46,0.32669732,0.21548249,0.08797842,0.35194534,0.33365124,0.37923372,0.40745553,0.43527856,0.46072534,0.33597487,0.36522737,0.06298402,609,554
47,0.33175418,0.22120565,0.0859737,0.35583335,0.33960208,0.37878567,0.41306633,0.4340781,0.46624658,0.33598784,0.37077555,0.06285894,93,83
48,0.33519247,0.2245408,0.08405991,0.35801366,0.34421644,0.3785361,0.41733146,0.43313,0.47026375,0.33616427,0.3751096,0.06309286,179,164
49,0.3360286,0.2245451,0.08237301,0.35753822,0.3464689,0.3783662,0.41897267,0.43227956,0.4714579,0.3364097,0.3770027,0.064140275,332,299
50,0.33371285,0.22228208,0.080831535,0.35425276,0.3450193,0.37813342,0.4158657,0.43136975,0.4683343,0.33659366,0.37396905,0.06373524,492,556
