Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
6179,NP1,,,
6179,NP2,,,
6179,NP3,,,
6179,NP4,,,
6179,NP5,0,10512,3
6179,NP6,,,
6179,NP7,,,
6179,NP8,0,28908,10
9781,NP9,,,
9781,NP10,,,
9781,NP11,,,
9781,NP12,,,
9781,NP13,,,
9781,NP14,,,
9781,NP15,,,
9781,NP16,,,
9781,NP17,,,
9781,NP18,,,
11391,NP19,0,13140,4
11391,NP20,0,13140,4
11391,NP21,0,13140,4
11391,NP22,,,
11391,NP23,,,
11391,NP24,,,
11391,NP25,0,13140,4
11391,NP26,,,
11391,NP27,0,13140,4
11391,NP28,0,13140,4
11391,NP29,0,13140,4
16383,NP30,,,
16383,NP31,0,18396,6
16383,NP32,,,
16383,NP33,,,
16383,NP34,,,
16383,NP35,0,18396,6
16383,NP36,,,
16383,NP37,0,18396,6
16383,NP38,,,
16383,NP39,0,18396,6
23996,NP40,0,26280,9
23996,NP41,0,26280,9
23996,NP42,0,26280,9
23996,NP43,0,26280,9
23996,NP44,0,26280,9
23996,NP45,0,26280,9
23996,NP46,0,26280,9
23996,NP47,0,26280,9
23996,NP48,0,26280,9
39173,NP49,0,39420,14
39173,NP50,0,39420,14
39173,NP51,0,39420,14
39173,NP52,,,
39173,NP53,0,39420,14
39173,NP54,,,
39173,NP55,,,
39173,NP56,0,39420,14
39173,NP57,,,
52183,NP58,0,52560,19
52183,NP59,0,52560,19
52183,NP60,0,52560,19
52183,NP61,1,52560,19
52183,NP62,0,52560,19
52183,NP63,1,52560,19
52183,NP64,0,52560,19
52183,NP65,0,52560,19
60163,NP66,1,60444,22
60163,NP67,,,
60163,NP68,1,65700,24
60163,NP69,1,60444,22
60163,NP70,1,78840,29
60163,NP71,0,60444,22
60163,NP72,1,65700,24
60163,NP73,1,81468,30
70194,NP74,,,
70194,NP75,,,
70194,NP76,1,70956,26
70194,NP77,,,
70194,NP78,0,70956,26
70194,NP79,1,84096,31
70194,NP80,1,70956,26
70194,NP81,1,70956,26
70194,NP82,,,
70194,NP83,1,70956,26
70194,NP84,,,
70194,NP85,1,70956,26
110986,NP86,1,113004,42
110986,NP87,1,113004,42
110986,NP88,1,113004,42
110986,NP89,,,
120346,NP90,,,
120346,NP91,,,
120346,NP92,0,120888,45
120346,NP93,,,
120346,NP94,0,120888,45
120346,NP95,,,
120346,NP96,,,
120346,NP97,1,120888,45
120346,NP98,0,120888,45
120346,NP99,0,120888,45
120346,NP100,,,
